date,ICU_Inflow,ICU_Inflow_SMA3d,ICU_Inflow_SMA7d,Hosp_Inflow,Hosp_Inflow_SMA3d,Hosp_Inflow_SMA7d,Tested,Tested_SMA3d,Tested_SMA7d,Cases,Cases_SMA3d,Cases_SMA7d,Cases_Pct,Cases_Pct_SMA3d,Cases_Pct_SMA7d,Prev,R,RNA,RNA_SMA3d,RNA_SMA7d,Vacc_Est,Vacc_Est_SMA3d,Vacc_Est_SMA7d,Vacc_Est_Carehomes,Vacc_Adm_GGD,Vacc_Adm_Hosp,Vacc_Adm_Doctors,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
2021-01-09,44.0,36.666666666666664,37.8571428571429,241.0,240.33333333333334,252.857142857143,35245.0,43383.0,47651.0,4385.0,5317.666666666667,6179.285714285715,12.4414810611434,12.276963894948201,12.956076848024285,127628.0,0.935,20576651292614.668,17311053306720.072,23892980538450.758,32018.0,24722.666666666668,10601.714285714286,0.0,2018.0,30000.0,0.0,0,0,0,0,0,1,0
2021-01-10,25.0,35.333333333333336,37.2857142857143,187.0,225.66666666666666,245.142857142857,28702.0,36371.333333333336,46197.0,3824.0,4589.666666666667,5948.0,13.3231133718905,12.6914888949664,12.859452244478957,125701.0,0.88,20426511624801.234,19086352025546.02,23427851271372.477,33934.0,30991.333333333332,15449.42857142857,0.0,2934.0,31000.0,0.0,0,0,0,0,0,0,1
2021-01-11,24.0,31.0,34.8571428571429,173.0,200.33333333333334,237.571428571429,43834.0,35927.0,44653.0,5387.0,4532.0,5597.857142857143,12.2895469270429,12.684713786692265,12.565769315799729,124022.0,0.84,29734628393527.504,23579263770314.47,21584651067429.19,42726.0,36226.0,21553.14285714286,0.0,4726.0,38000.0,0.0,1,0,0,0,0,0,0
2021-01-12,43.0,30.666666666666668,34.4285714285714,267.0,209.0,230.0,40551.0,37695.666666666664,42534.0,4913.0,4708.0,5281.0,12.1156075065966,12.576089268510001,12.457237923217557,123109.0,0.835,24169466096902.414,24776868705077.05,22703950483376.004,45087.0,40582.333333333336,27994.14285714286,0.0,6587.0,38500.0,0.0,0,1,0,0,0,0,0
2021-01-13,46.0,37.666666666666664,35.4285714285714,218.0,219.33333333333334,223.714285714286,47263.0,43882.666666666664,41500.0,5087.0,5129.0,5023.428571428572,10.763176268963,11.722776900867501,12.188905108476801,122324.0,0.855,21150343709869.49,25018146066766.47,21059158535037.27,47006.0,44939.666666666664,34703.0,0.0,8506.0,38500.0,0.0,0,0,1,0,0,0,0
2021-01-14,48.0,45.666666666666664,38.1428571428571,226.0,237.0,223.0,48272.0,45362.0,41291.0,5091.0,5030.333333333333,4892.428571428572,10.5464865760689,11.141756783876168,11.969897709081513,121276.0,0.885,51837162376312.18,32385657394361.363,26307236664749.95,49487.0,47193.333333333336,39611.42857142857,0.0,10487.0,39000.0,0.0,0,0,0,1,0,0,0
2021-01-15,24.0,39.333333333333336,36.2857142857143,217.0,220.33333333333334,218.428571428571,45917.0,47150.666666666664,41398.0,4731.0,4969.666666666667,4774.0,10.3033734782325,10.537678774421467,11.68325502713397,120271.0,0.925,25612063962316.54,32866523349499.406,27643832493763.44,58332.0,51608.333333333336,44084.28571428572,0.0,19332.0,39000.0,0.0,0,0,0,0,1,0,0
2021-01-16,35.0,35.666666666666664,35.0,212.0,218.33333333333334,214.285714285714,37079.0,43756.0,41660.0,3734.0,4518.666666666667,4681.0,10.0703902478492,10.306750100716867,11.344527768091941,120498.0,0.9450000000000001,19849681102119.715,32432969146916.145,27539979609407.008,67447.0,58422.0,49145.57142857143,0.0,28447.0,39000.0,0.0,0,0,0,0,0,1,0
2021-01-17,38.0,32.333333333333336,36.8571428571429,179.0,202.66666666666666,213.142857142857,31080.0,38025.333333333336,41999.0,3350.0,3938.3333333333335,4613.285714285715,10.7786357786358,10.384133168239167,10.981030969055556,119697.0,0.94,22190900411350.63,22550881825262.293,27792035150342.645,77807.0,67862.0,55413.142857142855,0.0,37591.0,40216.0,0.0,0,0,0,0,0,0,1
2021-01-18,28.0,33.666666666666664,37.4285714285714,152.0,181.0,210.142857142857,47758.0,38639.0,42560.0,4990.0,4024.6666666666665,4556.571428571428,10.4485112441895,10.432512423558167,10.718025871505072,118330.5,0.925,47151192648490.88,29730591387320.406,30280115758194.555,88926.0,78060.0,62013.142857142855,1037.0,47673.0,40216.0,0.0,1,0,0,0,0,0,0
