date,ICU_Inflow,ICU_Inflow_Lag,ICU_Inflow_SMA7d,Hosp_Inflow,Hosp_Inflow_SMA7d,Cases,Cases_Pct,RNA,Vacc_Est,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
2021-04-04,3.970291913552122,3.9889840465642745,3.8592248198611747,5.493061443340548,5.501258210544727,8.560635749259074,2.1945777577100145,30.672099677382096,14.851473029658564,0,0,0,0,0,0
2021-04-03,3.9889840465642745,3.871201010907891,3.8501476017100584,5.62040086571715,5.531694094142277,8.704999678440762,2.209930516410131,31.148678525164307,14.836918135811208,0,0,0,0,0,1
2021-04-02,3.871201010907891,4.110873864173311,3.8379150332744234,5.62040086571715,5.511121940067065,8.814627555310697,2.229863787615931,30.57247358851398,14.808464138371415,0,0,0,0,1,0
2021-04-01,4.110873864173311,3.7376696182833684,3.7511833374500916,5.54907608489522,5.495410240662306,8.831419819090131,2.1652903408010897,30.907657124825548,14.775901234006687,0,0,0,1,0,0
2021-03-31,3.7376696182833684,3.912023005428146,3.734262459961755,5.680172609017068,5.47287073369548,8.85978949474541,2.148268101770626,30.802605921345904,14.747597864394082,0,0,1,0,0,0
2021-03-30,3.912023005428146,3.58351893845611,3.6708609486112582,5.236441962829949,5.466250185889893,8.888342869109282,2.1181384786843442,30.791753992272707,14.721284582624447,0,1,0,0,0,0
2021-03-29,3.58351893845611,3.713572066704308,3.7205165390571193,5.204006687076795,5.453487934276042,8.54927308487965,2.114517920123522,31.60107783801164,14.69600580787746,1,0,0,0,0,0
2021-03-28,3.713572066704308,3.9318256327243257,3.6853016327660533,5.69035945432406,5.460800581122326,8.68490859582083,2.192365776401737,30.366242936127637,14.686279100019258,0,0,0,0,0,0
2021-03-27,3.9318256327243257,3.784189633918261,3.695996921882801,5.480638923341991,5.44365380462232,8.840145877949938,2.2204860901986834,30.49584332061688,14.672857329918251,0,0,0,0,0,1
2021-03-26,3.784189633918261,3.5263605246161616,3.7030640891058932,5.517452896464707,5.441799090025728,8.9237243977064,2.1963286016446877,30.555111172609955,14.6490399232919,0,0,0,0,1,0
2021-03-25,3.5263605246161616,3.6109179126442243,3.6853016327660533,5.389071729816501,5.41419382393384,8.908964972392399,2.116149275515083,30.193063872406647,14.623919821470054,0,0,0,1,0,0
2021-03-24,3.6109179126442243,3.4657359027997265,3.6817109646353234,5.641907070938114,5.3981627015177525,8.85978949474541,2.0782892879884525,30.940830687907184,14.599055417183724,0,0,1,0,0,0
2021-03-23,3.4657359027997265,3.912023005428146,3.7030640891058932,5.117993812416755,5.3606212498841925,8.801469470733185,2.0418198462826456,30.318987352638633,14.583607963026687,0,1,0,0,0,0
2021-03-22,3.912023005428146,3.4339872044851463,3.6888794541139363,5.267858159063328,5.367310238034987,8.625509334899697,2.1719315812175304,30.49668631916606,14.572298982228768,1,0,0,0,0,0
2021-03-21,3.4339872044851463,3.9889840465642745,3.7100816617645402,5.5909869805108565,5.365308235364315,8.620651899784468,2.1636781834014744,30.774106397769778,14.55918829209894,0,0,0,0,0,0
2021-03-20,3.9889840465642745,3.828641396489095,3.674490716661836,5.4680601411351315,5.335475514514972,8.728426091704613,2.1554025648659167,30.708261560494236,14.545045596776502,0,0,0,0,0,1
2021-03-19,3.828641396489095,3.367295829986474,3.648801230546525,5.3230099791384085,5.317419468421524,8.716699572964293,2.092953121067641,30.816030912067557,14.529175306267993,0,0,0,0,1,0
2021-03-18,3.367295829986474,3.58351893845611,3.7239707739252057,5.267858159063328,5.307560233629215,8.799812469525556,2.079773271654681,30.526250136963046,14.513625876861944,0,0,0,1,0,0
2021-03-17,3.58351893845611,3.6375861597263857,3.695996921882801,5.41610040220442,5.311092558036762,8.685246776412487,2.000585049994518,30.51640036192331,14.49798498678791,0,0,1,0,0,0
2021-03-16,3.6375861597263857,3.828641396489095,3.6853016327660533,5.176149732573829,5.32161527877286,8.621733370690162,1.928657564610104,30.866724555715184,14.482019058572513,0,1,0,0,0,0
2021-03-15,3.828641396489095,3.6109179126442243,3.6375861597263857,5.25227342804663,5.300457931047146,8.437933510430605,2.0493552983035177,30.82727779578178,14.470139858325982,1,0,0,0,0,0
2021-03-14,3.6109179126442243,3.784189633918261,3.6450768314555435,5.4116460518550396,5.262690188904886,8.48301573961465,2.0881214877605747,30.851400245721575,14.45593552898666,0,0,0,0,0,0
2021-03-13,3.784189633918261,3.6635616461296463,3.6147714819602133,5.351858133476067,5.226514428069531,8.625329850020815,2.153354567149202,30.61296799603479,14.438611812770198,0,0,0,0,0,1
2021-03-12,3.6635616461296463,3.912023005428146,3.6147714819602133,5.25227342804663,5.206358706977223,8.560444233410552,2.0496503220453586,30.715205945675965,14.410709682581848,0,0,0,0,1,0
2021-03-11,3.912023005428146,3.332204510175204,3.538886784435341,5.293304824724492,5.187385805840755,8.649448770536708,2.0239370462567696,30.356749294789086,14.383957521736694,0,0,0,1,0,0
2021-03-10,3.332204510175204,3.5553480614894135,3.6224343547057827,5.480638923341991,5.169671977129141,8.493719835230594,1.9514063887273938,30.55779824684925,14.356876249945657,0,0,1,0,0,0
2021-03-09,3.5553480614894135,3.4965075614664802,3.6853016327660533,4.990432586778736,5.159875980425958,8.39840965542627,1.9212526941912957,30.24288984164926,14.32905308759674,0,1,0,0,0,0
2021-03-08,3.4965075614664802,3.6635616461296463,3.674490716661836,4.9344739331306915,5.158233943932215,8.248529124800218,2.0936497995866787,30.217846964633807,14.305056363925214,1,0,0,0,0,0
2021-03-07,3.6635616461296463,3.58351893845611,3.607049435866305,5.170483995038151,5.175342304189229,8.232440158470336,2.0915647180256594,31.370604841225592,14.290340646096197,0,0,0,0,0,0
2021-03-06,3.58351893845611,3.6635616461296463,3.5512580762378896,5.220355825078324,5.182585796624722,8.32263709695394,2.121580405483477,30.354200063368765,14.274707883866894,0,0,0,0,0,1
2021-03-05,3.6635616461296463,3.4339872044851463,3.522149992079819,5.117993812416755,5.183387399874058,8.28121766128665,2.00964338972379,30.105270440924286,14.246317823760272,0,0,0,0,1,0
2021-03-04,3.4339872044851463,3.8918202981106265,3.5136753650888464,5.176149732573829,5.206358706977223,8.379997952238393,2.0717720143031424,30.45014520355916,14.207317482956563,0,0,0,1,0,0
2021-03-03,3.8918202981106265,3.9512437185814275,3.381966019734267,5.429345628954441,5.1857883614116,8.383890344101816,2.086026244628915,30.871663673611096,14.172724756479118,0,0,1,0,0,0
2021-03-02,3.9512437185814275,3.4011973816621555,3.2744456760230105,4.976733742420574,5.16233399067623,8.403800504061147,2.0684448795407833,31.116469335286364,14.138411114555392,0,1,0,0,0,0
2021-03-01,3.4011973816621555,3.044522437723423,3.311585222972467,5.075173815233827,5.143333005972199,8.11552088154677,2.1909175509460037,31.583616622389194,14.105692004377119,1,0,0,0,0,0
2021-02-28,3.044522437723423,3.091042453358316,3.3770998300830954,5.220355825078324,5.111987788356544,8.170751423757535,2.207352044917895,31.131017626712275,14.092390496881968,0,0,0,0,0,0
2021-02-27,3.091042453358316,3.4657359027997265,3.367295829986474,5.225746673713202,5.086714111972694,8.28045768658256,2.1687686421682106,31.178517551436666,14.066846541568419,0,0,0,0,0,1
2021-02-26,3.4657359027997265,3.367295829986474,3.306363278991317,5.278114659230517,5.0989949680740585,8.310169021981912,2.141102370530097,31.151764961713035,14.02754624474162,0,0,0,0,1,0
2021-02-25,3.367295829986474,2.995732273553991,3.327089409508435,5.017279836814924,5.106810900177009,8.39072252736229,2.120509443267375,31.159181330606078,13.971917547551987,0,0,0,1,0,0
2021-02-24,2.995732273553991,3.4339872044851463,3.3964241029094993,5.293304824724492,5.129053048910731,8.31898612539206,2.1691512423126365,31.15643239603719,13.922152652049535,0,0,1,0,0,0
2021-02-23,3.4339872044851463,3.6109179126442243,3.4011973816621555,4.804021044733257,5.13747769856998,8.427487278331744,2.2475120334039955,31.57999039320943,13.876484295303381,0,1,0,0,0,0
2021-02-22,3.6109179126442243,3.5263605246161616,3.327089409508435,4.812184355372417,5.154941759888735,8.101677747454572,2.336674750134748,30.920245512310633,13.829699418299416,1,0,0,0,0,0
2021-02-21,3.5263605246161616,2.995732273553991,3.2470467018348965,5.049856007249537,5.1647859739235145,8.146709052203319,2.272761951023795,30.605388684296546,13.80286595080619,0,0,0,0,0,0
2021-02-20,2.995732273553991,2.995732273553991,3.311585222972467,5.298317366548036,5.1857883614116,8.31164394850298,2.3253175792511223,30.90034218938833,13.773067458496477,0,0,0,0,0,1
2021-02-19,2.995732273553991,3.4965075614664802,3.3722098447889017,5.3230099791384085,5.17129535410903,8.32457884513685,2.285610675384902,30.93580137098553,13.727458275784391,0,0,0,0,1,0
2021-02-18,3.4965075614664802,3.5263605246161616,3.3219480100080143,5.176149732573829,5.163151986631861,8.346404870435956,2.215439284550416,30.52443296688974,13.681932307099064,0,0,0,1,0,0
2021-02-17,3.5263605246161616,3.4657359027997265,3.2470467018348965,5.342334251964811,5.180980659843495,8.3774712482411,2.254649545449617,31.443256625891053,13.636298960230567,0,0,1,0,0,0
2021-02-16,3.4657359027997265,3.091042453358316,3.2131451501592174,4.962844630259907,5.106810900177009,7.638679823876112,2.2136417045489183,30.664121315129176,13.593497617268937,0,1,0,0,0,0
2021-02-15,3.091042453358316,2.9444389791664403,3.2358734012367707,4.90527477843843,5.086714111972694,7.774435510302958,2.4095348396117724,29.95369098722878,13.57166162199105,1,0,0,0,0,0
2021-02-14,2.9444389791664403,3.4657359027997265,3.2358734012367707,5.204006687076795,5.099866427824199,7.8434564043761155,2.43888891798542,31.277361797327444,13.533631614739443,0,0,0,0,0,0
2021-02-13,3.4657359027997265,3.4657359027997265,3.1780538303479458,5.204006687076795,5.085831109707817,7.9868449011613825,2.362574719318004,30.18386708702193,13.494168284019858,0,0,0,0,0,1
2021-02-12,3.4657359027997265,3.1354942159291497,3.1166848839716548,5.272999558563747,5.07159599388594,8.093156697722637,2.3533316317195077,30.772303911071358,13.451505960481562,0,0,0,0,1,0
2021-02-11,3.1354942159291497,2.995732273553991,3.153956278768884,5.293304824724492,5.063498783653323,8.197814032221203,2.4172865891536213,31.016590696148313,13.400425324479112,0,0,0,1,0,0
2021-02-10,2.995732273553991,3.258096538021482,3.1839885658677582,4.787491742782046,5.049856007249537,8.18423477409482,2.451411430654207,31.343479340804166,13.347338849726146,0,0,1,0,0,0
2021-02-09,3.258096538021482,3.258096538021482,3.201584327758141,4.787491742782046,5.135798437050262,8.009695357742922,2.508927063105762,30.739763572548302,13.29788520166052,0,1,0,0,0,0
2021-02-08,3.258096538021482,2.9444389791664403,3.189888287994949,5.0106352940962555,5.155765822564128,8.011355109161286,2.434163638887979,30.667754649853247,13.25577651303677,1,0,0,0,0,0
2021-02-07,2.9444389791664403,3.091042453358316,3.252586882210514,5.111987788356544,5.149154228231816,8.013012110368916,2.353355693755273,31.008532890938447,13.25139491083146,0,0,0,0,0,0
2021-02-06,3.091042453358316,3.091042453358316,3.2905318137746375,5.111987788356544,5.173725488962325,8.18004072349016,2.3987418064061314,32.289286269984466,13.18574560529245,0,0,0,0,0,1
2021-02-05,3.091042453358316,3.367295829986474,3.362357548345893,5.225746673713202,5.197707453648809,8.167919362957816,2.3354505473402942,31.273579766978468,13.113393265979088,0,0,0,0,1,0
2021-02-04,3.367295829986474,3.2188758248682006,3.362357548345893,5.214935757608986,5.197707453648809,8.183118079394745,2.3381254361870223,31.19093044701148,13.02804830231903,0,0,0,1,0,0
2021-02-03,3.2188758248682006,3.367295829986474,3.424727879072349,5.384495062789089,5.211046215560321,8.134760782418645,2.3720492402331566,31.151080256767717,12.938664071950411,0,0,1,0,0,0
2021-02-02,3.367295829986474,3.1780538303479458,3.5263605246161616,4.969813299576001,5.2118253351945905,8.231908243564177,2.4190322296610414,31.252027266397512,12.837099711581725,0,1,0,0,0,0
2021-02-01,3.1780538303479458,3.4011973816621555,3.5263605246161616,4.955827057601261,5.231108616854587,7.806696372521179,2.5445762942850276,31.068224341413327,12.748071301947057,1,0,0,0,0,0
2021-01-31,3.4011973816621555,3.367295829986474,3.5755507688069326,5.278114659230517,5.2485267020450195,7.9211727215870145,2.4716375432963615,31.037006173714783,12.68414054595798,0,0,0,0,0,0
2021-01-30,3.367295829986474,3.58351893845611,3.5914241179632236,5.278114659230517,5.261949722377163,8.166784289056151,2.4897907894901636,31.180400792606306,12.566236994408175,0,0,0,0,0,1
2021-01-29,3.58351893845611,3.367295829986474,3.5715427474093953,5.225746673713202,5.2875452695661265,8.117610746466228,2.3626916563626437,31.260318451171855,12.46807915370282,0,0,0,0,1,0
2021-01-28,3.367295829986474,3.6375861597263857,3.5992672954242497,5.303304908059076,5.31601694364744,8.222553638396958,2.370667300544096,31.18326643786423,12.347819573039903,0,0,0,1,0,0
2021-01-27,3.6375861597263857,3.9512437185814275,3.5553480614894135,5.389071729816501,5.323706600552855,8.240648863374913,2.4297174732016718,31.7688979414274,12.198907033745263,0,0,1,0,0,0
2021-01-26,3.9512437185814275,3.1780538303479458,3.5136753650888464,5.1298987149230735,5.341650491254411,8.343077871169383,2.436136889132055,31.032161398812978,12.090470978957347,0,1,0,0,0,0
2021-01-25,3.1780538303479458,3.7376696182833684,3.5305534028761962,5.10594547390058,5.329954451491217,8.013343181386672,2.5001160684515282,31.573838629561127,12.008505462520652,1,0,0,0,0,0
2021-01-24,3.7376696182833684,3.4965075614664802,3.5136753650888464,5.365976015021851,5.33959639946747,8.147867129923947,2.476883367019131,31.20161805128076,11.934887087606857,0,0,0,0,0,0
2021-01-23,3.4965075614664802,3.4339872044851463,3.522149992079819,5.442417710521793,5.338224657139891,8.341886969516187,2.4350548132489127,31.173157893422268,11.858237090258548,0,0,0,0,0,1
2021-01-22,3.4339872044851463,3.58351893845611,3.4921691598678835,5.420534999272286,5.328569409718557,8.39479954320217,2.3795452299714506,30.765827396701628,11.784851561377225,0,0,0,0,1,0
2021-01-21,3.58351893845611,3.295836866004329,3.5430275771013737,5.356586274672012,5.328569409718557,8.464003362902119,2.3553559602097818,31.209814915370263,11.66367895229652,0,0,0,1,0,0
2021-01-20,3.295836866004329,3.7376696182833684,3.6186102582673803,5.501258210544727,5.332718793265369,8.431417414394833,2.3423498634681166,31.513836655119633,11.50117671793568,0,0,1,0,0,0
2021-01-19,3.7376696182833684,3.332204510175204,3.6224343547057827,5.0238805208462765,5.347787571546124,8.515191188745565,2.3464595035909035,31.484380419459917,11.39555984218497,0,1,0,0,0,0
2021-01-18,3.332204510175204,3.6375861597263857,3.607049435866305,5.187385805840755,5.361962631708392,8.116715624819111,2.3775660063256217,30.730703429397746,11.261986680412098,1,0,0,0,0,0
2021-01-17,3.6375861597263857,3.5553480614894135,3.5553480614894135,5.356586274672012,5.367310238034987,8.225235324101668,2.3095994594899207,30.6192090575483,11.119097383256094,0,0,0,0,0,0
2021-01-16,3.5553480614894135,3.1780538303479458,3.5914241179632236,5.37989735354046,5.386459056873747,8.461891875631148,2.3324713637704115,30.874084604939338,10.973906106833455,0,0,0,0,0,1
2021-01-15,3.1780538303479458,3.871201010907891,3.6413385093449353,5.420534999272286,5.407171771460119,8.535229553902337,2.355792778491581,31.57912842836312,10.809465287801839,0,0,0,0,1,0
2021-01-14,3.871201010907891,3.828641396489095,3.567518597109668,5.384495062789089,5.4103697274954365,8.534443544822764,2.3761307034557757,30.682677272346446,10.758030532118873,0,0,0,1,0,0
2021-01-13,3.828641396489095,3.7612001156935624,3.538886784435341,5.58724865840025,5.438079308923196,8.499640032168648,2.4944944980047996,30.816111220904823,10.716349235602204,0,0,1,0,0,0
2021-01-12,3.7612001156935624,3.1780538303479458,3.5512580762378896,5.153291594497779,5.470468330137616,8.591743922680534,2.508749057726958,31.023333421734,10.662562913210179,0,1,0,0,0,0
2021-01-11,3.1780538303479458,3.2188758248682006,3.6186102582673803,5.231108616854587,5.501841130992593,8.249052274171293,2.589500374428509,30.647854762494315,10.432172740602885,1,0,0,0,0,0
2021-01-10,3.2188758248682006,3.784189633918261,3.63381967693091,5.484796933490655,5.532824676512562,8.385944904806284,2.521036136586397,30.655178116506463,10.37405352363804,0,0,0,0,0,0
