,Date_measurement,RNA_flow_per_100000,RNA_per_ml,Measurement_count,RNA_per_100000_per_measurement,pandas_SMA_3,pandas_SMA_7
238,2020-12-12,791595411424099.0,0.0,26,30445977362465.348,24555573609237.91,22400406691644.71
239,2020-12-13,2269162537396890.0,0.0,74,30664358613471.49,28521923529147.28,23606018407220.836
240,2020-12-14,5450246715462517.0,0.0,112,48662917102343.9,36591084359426.914,27949651475883.105
241,2020-12-15,2748311064324641.0,0.0,67,41019568124248.375,40115614613354.586,31659187180218.406
242,2020-12-16,2542500673521623.0,0.0,73,34828776349611.273,41503753858734.52,32691763002484.105
243,2020-12-17,2573193120837991.0,0.0,96,26804095008729.074,34217479827529.574,33840161024624.926
244,2020-12-18,986898855305339.0,0.0,32,30840589228291.844,30824486862210.73,34752325969880.188
245,2020-12-19,531870110460119.0,0.0,25,21274804418404.76,26306496218475.23,33442158406442.96
246,2020-12-20,2484026646778844.0,0.0,94,26425815391264.297,26180403012653.637,32836652231841.934
247,2020-12-21,8632291514418297.0,0.0,129,66916988483862.766,38205869431177.27,35444376714916.055
248,2020-12-22,2786654808221347.0,0.0,69,40386301568425.32,44576368481184.13,35353910064084.19
249,2020-12-23,9416475548316046.0,0.0,158,59597946508329.41,55633745520205.836,38892362943901.07
250,2020-12-24,21097854881316.0,0.0,2,10548927440658.0,36844391839137.57,36570196148462.336
251,2020-12-25,250418614727853.0,0.0,6,41736435787975.5,37294436578987.63,38126745656988.58
252,2020-12-26,331553830920889.0,0.0,14,23682416494349.215,25322593240994.24,38470690239266.36
253,2020-12-27,5670724966210349.0,0.0,133,42637029821130.445,36018627367818.38,40786578014961.516
254,2020-12-28,1568099537786376.0,0.0,96,16334370185274.75,27551272166918.137,33560489686591.805
255,2020-12-29,4213641467923044.0,0.0,129,32663887348240.652,30545095784881.95,32457287655136.85
256,2020-12-30,634225849669582.0,0.0,42,15100615468323.38,21366291000612.926,26100526077993.137
257,2021-01-01,195070717910666.0,0.0,12,16255893159222.166,21340131991928.734,26915806894930.87
258,2021-01-02,555569584900596.0,0.0,27,20576651292614.668,17311053306720.072,23892980538450.754
259,2021-01-03,1225590697488074.0,0.0,60,20426511624801.234,19086352025546.02,23427851271372.473
260,2021-01-04,3657359292403883.0,0.0,123,29734628393527.504,23579263770314.47,21584651067429.19
261,2021-01-05,1450167965814145.0,0.0,60,24169466096902.418,24776868705077.05,22703950483376.004
